,0,Datas,30/09/2019,30/06/2019,31/03/2019,31/12/2018,30/09/2018,30/06/2018,31/03/2018,31/12/2017,30/09/2017,30/06/2017,31/03/2017,31/12/2016,30/09/2016,30/06/2016,31/03/2016,31/12/2015,30/09/2015,30/06/2015,31/03/2015,31/12/2014,30/09/2014,30/06/2014,31/03/2014,31/12/2013,30/09/2013,30/06/2013,31/03/2013,31/12/2012,30/09/2012,30/06/2012,31/03/2012,31/12/2011,30/09/2011,30/06/2011,31/03/2011,31/12/2010,30/09/2010,30/06/2010,31/03/2010,31/12/2009,30/09/2009,30/06/2009
13,Aplicações Financeiras Avaliadas ao Custo Amortizado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Contas a Receber,0,0,0,0,0,0,499254.016,497976,487387.008,596848,580811.008,587273.984,591667.008,575779.008,690603.008,732395.008,772486.016,682065.984,694561.024,609316.992,602252.032,521655.008,591142.016,564481.984,599089.984,543860.992,519172.992,501726.016,362017.984,456824.992,382696.992,399297.984,534796,476590.016,499396,274464,258454,248712.992,303984,285894.016,221915.008,194168
15,Estoques,369440.992,362798.016,600892.992,589177.984,618832,593465.984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Ativos Biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Tributos Diferidos,0,0,0,0,0,0,20297074.688,21958780.928,21069082.624,23472596.992,22582231.04,23930904.576,22234159.104,23396263.936,27316836.352,30867533.824,31710291.968,13341422.592,14035636.224,10560010.24,10551500.8,9669962.752,10613800.96,10596331.52,10463102.976,9468063.744,8578269.184,8134033.92,5013850.112,3774883.072,3917462.016,3691552,3815612.928,1781352.96,2597278.976,2439984.128,0,0,0,0,0,0
18,Despesas Antecipadas,32424972.288,29501136.896,30049056.768,26767476.736,22874839.04,25199423.488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349224,702411.008,454052,505571.008,278408.992,398192.992,422444.992,254366,0,0,0,0,0,0
19,Créditos com Partes Relacionadas,0,0,0,0,0,0,5250635.776,8694957.056,8457245.184,8796201.984,8479785.984,5130,61801,9866,102,5353,89496,65234,72253,93130,455636,232020,260304.992,252616.992,538809.024,558748.992,819380.992,832571.008,1101755.008,851291.008,932774.976,904036.992,15711,24718,15807,8032,859,24735,81203,64037,99362,51051
20,Outros Ativos Não Circulantes,6662685.184,6150559.232,6223847.936,6247965.184,6425454.08,6077764.096,16103133.184,12813671.424,12489330.688,10037556.224,9941706.752,9569130.496,11257312.256,10884610.048,10094575.616,9996365.824,10555426.816,9042508.8,8622875.648,7809202.176,9597422.592,7958239.232,7715068.928,7561325.056,11544591.36,10555026.432,6126459.904,6092598.784,5213424.128,5174401.024,5222046.208,5412613.12,6367070.208,6033502.208,6509474.816,5111349.76,8609978.368,8584080.896,10384530.432,7254734.848,5987530.24,6287684.096
21,Investimentos,12485801.984,11937605.632,12750665.728,12495001.6,12598114.304,12440545.28,12367719.424,11801595.904,12215227.392,11925573.632,12302973.952,12046203.904,12908046.336,12720769.024,12090679.296,11481465.856,12320611.328,13056626.688,12230135.808,10977901.568,11420377.088,11250505.728,12028631.04,8396790.784,8835313.664,8416676.864,12922618.88,13044459.52,16601314.304,16037262.336,15816422.4,10917109.76,10810285.056,9772688.384,9963231.232,3945462.016,4699889.152,4147641.088,4579462.144,4589890.048,4519179.776,2399799.04
22,Imobilizado,203511971.84,194051997.696,194454011.904,187481505.792,189916692.48,187816280.064,179979141.12,181534818.304,178295914.496,180821409.792,178295521.28,180615921.664,198430408.704,195664904.192,206147747.84,211259129.856,245736620.032,221144023.04,223622938.624,207507062.784,199428210.688,188332638.208,189553065.984,191308234.752,189677338.624,186262568.96,174850850.816,173454622.72,174360150.016,167217184.768,157088923.648,158105387.008,148098744.32,134593150.976,132008067.072,130086830.08,117948071.936,115799465.984,106428022.784,115160408.064,111824379.904,111097192.448
